股票代码	雅虎代码	公司名称	交易所
600403	600403.SS	大有能源	SH
600401	600401.SS	退市海润	SH
600395	600395.SS	盘江股份	SH
600393	600393.SS	ST粤泰	SH
600385	600385.SS	退市金泰	SH
600357	600357.SS	承德钒钛	SH
600346	600346.SS	恒力石化	SH
600322	600322.SS	津投城开	SH
600321	600321.SS	正源股份	SH
600317	600317.SS	营口港	SH
600311	600311.SS	*ST荣华	SH
600306	600306.SS	退市商城	SH
600297	600297.SS	广汇汽车	SH
600296	600296.SS	S兰铝	SH
600291	600291.SS	退市西水	SH
600290	600290.SS	*ST华仪	SH
600289	600289.SS	*ST信通	SH
600286	600286.SS	S*ST国瓷	SH
600285	600285.SS	羚锐制药	SH
600277	600277.SS	ST亿利	SH
600275	600275.SS	退市昌鱼	SH
600270	600270.SS	外运发展	SH
600263	600263.SS	路桥建设	SH
600260	600260.SS	*ST凯乐	SH
600253	600253.SS	天方药业	SH
600247	600247.SS	*ST成城	SH
600242	600242.SS	退市中昌	SH
600240	600240.SS	退市华业	SH
600225	600225.SS	*ST卓朗	SH
600220	600220.SS	ST阳光	SH
600213	600213.SS	*ST亚星	SH
600209	600209.SS	退市罗顿	SH
600205	600205.SS	S山东铝	SH
600181	600181.SS	S*ST云大	SH
600175	600175.SS	退市美都	SH
600146	600146.SS	退市环球	SH
600145	600145.SS	退市新亿	SH
600139	600139.SS	*ST西源	SH
600122	600122.SS	*ST宏图	SH
600112	600112.SS	*ST天成	SH
600108	600108.SS	亚盛集团	SH
600102	600102.SS	莱钢股份	SH
600093	600093.SS	退市易见	SH
600092	600092.SS	S*ST精密	SH
600091	600091.SS	退市明科	SH
600090	600090.SS	退市济堂	SH
600087	600087.SS	退市长油	SH
600086	600086.SS	退市金钰	SH
600084	600084.SS	中信尼雅	SH
600077	600077.SS	*ST宋都	SH
600074	600074.SS	退市保千	SH
600069	600069.SS	退市银鸽	SH
600068	600068.SS	葛洲坝	SH
600065	600065.SS	*ST联谊	SH
600033	600033.SS	福建高速	SH
600005	600005.SS	武钢股份	SH
600003	600003.SS	ST东北高	SH
600002	600002.SS	齐鲁石化	SH
600001	600001.SS	邯郸钢铁	SH
301601	301601.SZ	惠通科技	SZ
301581	301581.SZ	黄山谷捷	SZ
301458	301458.SZ	钧崴电子	SZ
300807	300807.SZ	天迈科技	SZ
300799	300799.SZ	左江退	SZ
300742	300742.SZ	越博退	SZ
300526	300526.SZ	中潜退	SZ
300495	300495.SZ	*ST美尚	SZ
300493	300493.SZ	润欣科技	SZ
300431	300431.SZ	暴风退	SZ
300392	300392.SZ	腾信退	SZ
300372	300372.SZ	欣泰退	SZ
300367	300367.SZ	网力退	SZ
300362	300362.SZ	天翔退	SZ
300356	300356.SZ	光一退	SZ
